nombre,categoria,descripcion,src,src2,year,modal,alt
Pasajeros del Titanic,Visualización de Datos,"Afiche diseñado en Processing. Aprovechando la metáfora del iceberg,  su diseño considera las tres clases en que se dividió a los pasajeros, la cantidad de sobrevivientes y fallecidos de cada una, y la edad de cada pasajero expresado en el tamaño de cada circunferencia. Observe y saque sus propias conclusiones.",img/portfolio/titanic.jpg,<img class=img-responsive img-centered src="img/portfolio/titanic2.jpg">,2017,portfolioModal1,"Afiche sobre los pasajeros del Titanic según clase, cantidad de sobrevivientes y fallecidos, hecho en Processing."
Caverna RGB,Electrónica Analógica," Hicimos una interpretación moderna del mito de la caverna de Platón, haciendo un paralelo con cómo conocemos el mundo hoy en día a través de las pantallas RGB. La invitación es a reflexionar sobre el papel de los nuevos medios en lo que conocemos: ¿nos están acercando más a la realidad en el mundo o nos entregan una interpretación de éste? ¿dónde se encuentra esta realidad?",img/portfolio/rgb.jpg,<img class="img-responsive img-centered" src="img/portfolio/rgb2.jpg"><iframe src=https://player.vimeo.com/video/218373254?byline=0&portrait=0" width="640" height="360" frameborder="0" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>,2017,portfolioModal2,"Proyecto de electrónica analógica, síntesis del color RGB y proyección sobre fondo irregular."
Blog Anime,Diseño Web,"Quinto ejercicio del curso Diseño y nuevos Medios. Blog utilizando Bootstrap.",img/portfolio/sitio1.jpg,<img class="img-responsive img-centered" src="img/portfolio/sitio2.jpg"><img class="img-responsive img-centered" src="img/portfolio/sitio3.jpg">,2017,portfolioModal3,Blog hecho con Bootstrap.
Amuleto de Despedida,Diseño en Alerta / UX,"Nos pusimos en el contexto de guerra y el dolor de perder a un ser querido en ella. Nos preguntamos ¿qué pasa con el proceso de duelo de aquellas personas que viven en esta situación, donde no existe un ritual o algo que les permita sobrellevar esta pérdida?. Tras analizar testimonios de gente que vivió estas circustancias, papers de psicólogos  y entrevistas, llegamos a generar este amuleto.",img/portfolio/amuleto.jpg,<iframe src=https://player.vimeo.com/video/222048306?byline=0&portrait=0" width="640" height="360" frameborder="0" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>,2016,portfolioModal4,Amuleto para sobrellevar el duelo en contextos de guerra.
Néctar Sabores del Mataquito,Branding / Diseño Gráfico,"Surge a partir del trabajo en conjunto con emprendedores de la región del Maule. El objetivo era mejorar la marca del emprendedor asignado, en este caso Sabores del Mataquito. Se aplicó en particular a la nueva línea de néctar hechos 100% de fruta y pensados en 5 variedades de sabores en ese momento.",img/portfolio/nectar.jpg,<img class="img-responsive img-centered" src="img/portfolio/nectar3.jpg"><img class="img-responsive img-centered" src="img/portfolio/nectar4.jpg"><img class="img-responsive img-centered" src="img/portfolio/nectar5.jpg">,2016,portfolioModal5,Botellas de néctar con branding para la marca Sabores del Mataquito.
Rata bajo la lluvia,Juego,Hecho en Processing. Se trata de un ratoncito que con su paraguas trata de atrapar las gotitas que van cayendo antes de que toquen el suelo. El código también está disponible en mi Github.,img/portfolio/raton.jpg,<iframe width=560" height="315" src="https://www.youtube.com/embed/GxxP6Vf0dWI" frameborder="0" allowfullscreen></iframe>,2016,portfolioModal6,Juego que consiste en atrapar las gotas que caen antes de que toquen el suelo.
Pan de Carne,Innovación Alimentos,"Trabajo pensado como un nuevo producto para Agrosuper. Pensamos desde el producto alimenticio en sí hasta el packaging y el diseño de la etiqueta. Render, etiqueta y fotomontaje hechos por mí.",img/portfolio/pan1.jpg,<img class="img-responsive img-centered" src="img/portfolio/pan2.jpg"><img class="img-responsive img-centered" src="img/portfolio/pan3.jpg">,2016,portfolioModal7,Nuevo producto alimenticio para Agrosuper. Pan de Carne.
Bici Reptar,Diseño Industrial,"Diseñada en Rhinoceros y cortada en router CNC, esta bicicleta está pensada para niños de 3-4 años con gusto por los dinosaurios. La mayoría de sus componentes en madera está unido a partir de encajes simples.",img/portfolio/reptar.jpg,<img class=img-responsive img-centered" src="img/portfolio/reptar2.jpg">,2016,portfolioModal8,Bicicleta Reptar de terciado con encajes simples.
Déjate Caer,Conceptual,"Proyecto que surge a partir de representar físicamente la canción "Déjate Caer" de Los Tres en un objeto. ",img/portfolio/dejatecaer.jpg,<img class="img-responsive img-centered" src="img/portfolio/dejatecaer2.jpg">,2016,portfolioModal9,"Ataúd negro con hojas de otoño, que representan la canción Déate Caer del grupo Los Tres."
Bicicleta Vector,Diseño Gráfico,Dibujo vectorial basado en un render tridimensional previo de un modelo de bicicleta.,img/portfolio/bici2.jpg,<img class="img-responsive img-centered" src="img/portfolio/bici.jpg">,2015,portfolioModal10,Dibujo vectorial de una bicicleta tridimensional.
